"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"63","0","McHENRY","100","HILLARY CLINTON","120","PRESIDENT","RIL  1","1990","11","Democrat","108"
"63","0","McHENRY","105","WILLIE L. WILSON","120","PRESIDENT","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","110","MARTIN J. O'MALLEY","120","PRESIDENT","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","115","ROQUE ""ROCKY"" DE LA FUENTE","120","PRESIDENT","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","120","LARRY (LAWRENCE) COHEN","120","PRESIDENT","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","125","BERNIE SANDERS","120","PRESIDENT","RIL  1","1990","11","Democrat","181"
"63","0","McHENRY","9000","Write-in","120","PRESIDENT","RIL  1","1990","11","Democrat","1"
"63","0","McHENRY","9002","WRI-DAVID FORMHALS","120","PRESIDENT","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Blank Ballots","120","PRESIDENT","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Under Votes","120","PRESIDENT","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Over Votes","120","PRESIDENT","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","185","ANDREA ZOPP","160","UNITED STATES SENATOR","RIL  1","1990","11","Democrat","48"
"63","0","McHENRY","190","TAMMY DUCKWORTH","160","UNITED STATES SENATOR","RIL  1","1990","11","Democrat","204"
"63","0","McHENRY","195","NAPOLEON HARRIS","160","UNITED STATES SENATOR","RIL  1","1990","11","Democrat","22"
"63","0","McHENRY","0","Blank Ballots","160","UNITED STATES SENATOR","RIL  1","1990","11","Democrat","16"
"63","0","McHENRY","0","Under Votes","160","UNITED STATES SENATOR","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Over Votes","160","UNITED STATES SENATOR","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","215","SUSANA MENDOZA","210","COMPTROLLER","RIL  1","1990","11","Democrat","227"
"63","0","McHENRY","0","Blank Ballots","210","COMPTROLLER","RIL  1","1990","11","Democrat","63"
"63","0","McHENRY","0","Under Votes","210","COMPTROLLER","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Over Votes","210","COMPTROLLER","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","485","JIM WALZ","380","14TH CONGRESS","RIL  1","1990","11","Democrat","99"
"63","0","McHENRY","490","JOHN J HOSTA","380","14TH CONGRESS","RIL  1","1990","11","Democrat","99"
"63","0","McHENRY","495","JESSE MAGGITT","380","14TH CONGRESS","RIL  1","1990","11","Democrat","46"
"63","0","McHENRY","0","Blank Ballots","380","14TH CONGRESS","RIL  1","1990","11","Democrat","46"
"63","0","McHENRY","0","Under Votes","380","14TH CONGRESS","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Over Votes","380","14TH CONGRESS","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","3355","JENNIFER BERTINO-TARRANT","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","78"
"63","0","McHENRY","3360","JACK FRANKS","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","152"
"63","0","McHENRY","3365","MARK A. GUETHLE","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","72"
"63","0","McHENRY","3370","KRISTINA ZAHORIK","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","77"
"63","0","McHENRY","3375","ROBYN SUTCLIFF","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","87"
"63","0","McHENRY","3380","LUIS AGUILAR","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","104"
"63","0","McHENRY","3385","ALISON SQUIRES","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","111"
"63","0","McHENRY","3390","PETER GRANT","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","86"
"63","0","McHENRY","3395","BONNIE OWENS","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","105"
"63","0","McHENRY","0","Blank Ballots","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","8"
"63","0","McHENRY","0","Under Votes","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","256"
"63","0","McHENRY","0","Over Votes","495","14TH DEMOCRATIC DELEGATE","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Blank Ballots","1100","32ND SENATE","RIL  1","1990","11","Democrat","69"
"63","0","McHENRY","0","Under Votes","1100","32ND SENATE","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Over Votes","1100","32ND SENATE","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","7380","JACK D. FRANKS","2000","63RD REPRESENTATIVE","RIL  1","1990","11","Democrat","263"
"63","0","McHENRY","0","Blank Ballots","2000","63RD REPRESENTATIVE","RIL  1","1990","11","Democrat","27"
"63","0","McHENRY","0","Under Votes","2000","63RD REPRESENTATIVE","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Over Votes","2000","63RD REPRESENTATIVE","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Blank Ballots","4670","22ND CIRCUIT- GRAHAM VACANCY","RIL  1","1990","11","Democrat","69"
"63","0","McHENRY","0","Under Votes","4670","22ND CIRCUIT- GRAHAM VACANCY","RIL  1","1990","11","Democrat","0"
"63","0","McHENRY","0","Over Votes","4670","22ND CIRCUIT- GRAHAM VACANCY","RIL  1","1990","11","Democrat","0"
